STATE_FISCAL_YEAR,COUNTY_NAME,PROVIDER_TYPE,FAC_FDR,COUNT
SFY2015-16,1_CALIFORNIA,ALL,ALL,9694
SFY2016-17,1_CALIFORNIA,ALL,ALL,10100
SFY2017-18,1_CALIFORNIA,ALL,ALL,10417
SFY2018-19,1_CALIFORNIA,ALL,ALL,10879
SFY2019-20,1_CALIFORNIA,ALL,ALL,11750
SFY2020-21,1_CALIFORNIA,ALL,ALL,12744
SFY2021-22,1_CALIFORNIA,ALL,ALL,14404
SFY2022-23,1_CALIFORNIA,ALL,ALL,14841
SFY2023-24,1_CALIFORNIA,ALL,ALL,15258
SFY2024-25,1_CALIFORNIA,ALL,ALL,15633
SFY2015-16,1_CALIFORNIA,LONG-TERM CARE,ALL,2568
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,ALL,7126
SFY2016-17,1_CALIFORNIA,LONG-TERM CARE,ALL,2609
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,ALL,7491
SFY2017-18,1_CALIFORNIA,LONG-TERM CARE,ALL,2608
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,ALL,7809
SFY2018-19,1_CALIFORNIA,LONG-TERM CARE,ALL,2614
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,ALL,8265
SFY2019-20,1_CALIFORNIA,LONG-TERM CARE,ALL,2582
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,ALL,9168
SFY2020-21,1_CALIFORNIA,LONG-TERM CARE,ALL,2562
SFY2020-21,1_CALIFORNIA,NON-LONG-TERM CARE,ALL,10182
SFY2021-22,1_CALIFORNIA,LONG-TERM CARE,ALL,2546
SFY2021-22,1_CALIFORNIA,NON-LONG-TERM CARE,ALL,11858
SFY2022-23,1_CALIFORNIA,LONG-TERM CARE,ALL,2506
SFY2022-23,1_CALIFORNIA,NON-LONG-TERM CARE,ALL,12335
SFY2023-24,1_CALIFORNIA,LONG-TERM CARE,ALL,2483
SFY2023-24,1_CALIFORNIA,NON-LONG-TERM CARE,ALL,12775
SFY2024-25,1_CALIFORNIA,LONG-TERM CARE,ALL,2477
SFY2024-25,1_CALIFORNIA,NON-LONG-TERM CARE,ALL,13156
SFY2015-16,1_CALIFORNIA,LONG-TERM CARE,CONGREGATE LIVING HEALTH FACILITY,125
SFY2015-16,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY,14
SFY2015-16,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,1169
SFY2015-16,1_CALIFORNIA,LONG-TERM CARE,PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,16
SFY2015-16,1_CALIFORNIA,LONG-TERM CARE,SKILLED NURSING FACILITY,1244
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,ACUTE PSYCHIATRIC HOSPITAL,135
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,ADULT DAY HEALTH CARE,266
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,ALTERNATIVE BIRTHING CENTER,11
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,CHEMICAL DEPENDENCY RECOVERY HOSPITAL,10
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,CHRONIC DIALYSIS CLINIC,640
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,CORRECTIONAL TREATMENT CENTER,21
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,GENERAL ACUTE CARE HOSPITAL,437
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,HOME HEALTH AGENCY,1684
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE,1099
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE FACILITY,9
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,PRIMARY CARE CLINIC,1857
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,PSYCHOLOGY CLINIC,26
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,REFERRAL AGENCY,3
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,REHABILITATION CLINIC,132
SFY2015-16,1_CALIFORNIA,NON-LONG-TERM CARE,SURGICAL CLINIC,796
SFY2016-17,1_CALIFORNIA,LONG-TERM CARE,CONGREGATE LIVING HEALTH FACILITY,169
SFY2016-17,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY,14
SFY2016-17,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,1168
SFY2016-17,1_CALIFORNIA,LONG-TERM CARE,PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,18
SFY2016-17,1_CALIFORNIA,LONG-TERM CARE,SKILLED NURSING FACILITY,1240
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,ACUTE PSYCHIATRIC HOSPITAL,134
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,ADULT DAY HEALTH CARE,267
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,ALTERNATIVE BIRTHING CENTER,13
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,CHEMICAL DEPENDENCY RECOVERY HOSPITAL,9
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,CHRONIC DIALYSIS CLINIC,659
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,CORRECTIONAL TREATMENT CENTER,21
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,GENERAL ACUTE CARE HOSPITAL,439
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,HOME HEALTH AGENCY,1693
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE,1237
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE FACILITY,11
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,PRIMARY CARE CLINIC,2042
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,PSYCHOLOGY CLINIC,25
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,REFERRAL AGENCY,3
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,REHABILITATION CLINIC,129
SFY2016-17,1_CALIFORNIA,NON-LONG-TERM CARE,SURGICAL CLINIC,809
SFY2017-18,1_CALIFORNIA,LONG-TERM CARE,CONGREGATE LIVING HEALTH FACILITY,190
SFY2017-18,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY,13
SFY2017-18,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,1154
SFY2017-18,1_CALIFORNIA,LONG-TERM CARE,PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,18
SFY2017-18,1_CALIFORNIA,LONG-TERM CARE,SKILLED NURSING FACILITY,1233
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,ACUTE PSYCHIATRIC HOSPITAL,133
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,ADULT DAY HEALTH CARE,271
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,ALTERNATIVE BIRTHING CENTER,12
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,CHEMICAL DEPENDENCY RECOVERY HOSPITAL,8
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,CHRONIC DIALYSIS CLINIC,675
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,CORRECTIONAL TREATMENT CENTER,21
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,GENERAL ACUTE CARE HOSPITAL,432
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,HOME HEALTH AGENCY,1804
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE,1330
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE FACILITY,14
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,PRIMARY CARE CLINIC,2131
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,PSYCHOLOGY CLINIC,24
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,REFERRAL AGENCY,4
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,REHABILITATION CLINIC,128
SFY2017-18,1_CALIFORNIA,NON-LONG-TERM CARE,SURGICAL CLINIC,822
SFY2018-19,1_CALIFORNIA,LONG-TERM CARE,CONGREGATE LIVING HEALTH FACILITY,220
SFY2018-19,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY,13
SFY2018-19,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,1139
SFY2018-19,1_CALIFORNIA,LONG-TERM CARE,PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,18
SFY2018-19,1_CALIFORNIA,LONG-TERM CARE,SKILLED NURSING FACILITY,1224
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,ACUTE PSYCHIATRIC HOSPITAL,132
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,ADULT DAY HEALTH CARE,286
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,ALTERNATIVE BIRTHING CENTER,12
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,CHEMICAL DEPENDENCY RECOVERY HOSPITAL,8
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,CHRONIC DIALYSIS CLINIC,701
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,CORRECTIONAL TREATMENT CENTER,21
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,GENERAL ACUTE CARE HOSPITAL,430
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,HOME HEALTH AGENCY,2040
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE,1406
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE FACILITY,12
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,PRIMARY CARE CLINIC,2228
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,PSYCHOLOGY CLINIC,23
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,REFERRAL AGENCY,3
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,REHABILITATION CLINIC,136
SFY2018-19,1_CALIFORNIA,NON-LONG-TERM CARE,SURGICAL CLINIC,827
SFY2019-20,1_CALIFORNIA,LONG-TERM CARE,CONGREGATE LIVING HEALTH FACILITY,235
SFY2019-20,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY,11
SFY2019-20,1_CALIFORNIA,LONG-TERM CARE,INTERMEDIATE CARE FACILITY-DD/H/N/CN/IID,1107
SFY2019-20,1_CALIFORNIA,LONG-TERM CARE,PEDIATRIC DAY HEALTH & RESPITE CARE FACILITY,18
SFY2019-20,1_CALIFORNIA,LONG-TERM CARE,SKILLED NURSING FACILITY,1211
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,ACUTE PSYCHIATRIC HOSPITAL,130
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,ADULT DAY HEALTH CARE,304
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,ALTERNATIVE BIRTHING CENTER,11
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,CHEMICAL DEPENDENCY RECOVERY HOSPITAL,9
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,CHRONIC DIALYSIS CLINIC,736
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,CORRECTIONAL TREATMENT CENTER,21
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,GENERAL ACUTE CARE HOSPITAL,428
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,HOME HEALTH AGENCY,2338
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE,1654
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,HOSPICE FACILITY,13
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,PRIMARY CARE CLINIC,2541
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,PSYCHOLOGY CLINIC,24
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,REFERRAL AGENCY,3
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,REHABILITATION CLINIC,132
SFY2019-20,1_CALIFORNIA,NON-LONG-TERM CARE,SURGICAL CLINIC,824
